Number_Plate,Vehicle_Type,Part_Name,Category,Supplier,Purchase_Cost,Service_Date,Issue_Reported
KCN 625C,Tractor,Battery,Electrical,Aeolus,4800.89,2024-08-12,Battery issue
KCN 625C,Tractor,Radiator,Cooling System,MechWorks,3507.8,2024-09-21,Oil leak
KCN 625C,Tractor,Radiator,Cooling System,PartsPlus,9258.37,2025-05-11,Electrical fault
KCN 625C,Tractor,Fuel Pump,Fuel System,PartsPlus,1842.43,2024-09-25,Hydraulic issue
KDA 106P,Tractor,Radiator,Cooling System,PowerAuto,10222.35,2025-03-27,Brake failure
KDA 106P,Tractor,Brake Pads,Braking System,JKT,13392.65,2025-03-01,Overheating
KDA 106P,Tractor,Hydraulic Pump,Hydraulics,FarmEquip Co,14965.87,2025-03-14,Electrical fault
KDA 106P,Tractor,Fuel Pump,Fuel System,PartsPlus,10574.12,2025-05-18,Brake failure
KDA 106P,Tractor,Brake Pads,Braking System,SpareHub,9798.03,2024-11-15,Battery issue
KDA 106P,Tractor,Brake Pads,Braking System,TurboTraders,12125.59,2025-05-24,Oil leak
KBU 872G,Tractor,Hydraulic Pump,Hydraulics,Goodyear,4471.08,2025-01-22,Tyre worn out
KBU 872G,Tractor,Air Filter,Air Intake,Aeolus,7093.12,2024-09-05,Tyre worn out
KBU 872G,Tractor,Air Filter,Air Intake,HeavyDuty Supplies,1577.72,2024-12-17,Battery issue
KBU 872G,Tractor,Air Filter,Air Intake,Goodyear,4638.38,2025-04-10,Overheating
KBU 872G,Tractor,Hydraulic Pump,Hydraulics,Gallant,4464.77,2024-10-30,Battery issue
KBU 872G,Tractor,Hydraulic Pump,Hydraulics,PartsPlus,13759.01,2025-03-12,Brake failure
KBU 872G,Tractor,Battery,Electrical,MechWorks,6636.02,2025-04-05,Battery issue
KBU 872G,Tractor,Battery,Electrical,TechFix,5734.51,2024-12-24,Low power
KCN 532N,Tractor,Fuel Pump,Fuel System,Aeolus,6204.04,2024-11-04,Overheating
KCN 532N,Tractor,Brake Pads,Braking System,PowerAuto,12365.58,2024-08-26,Electrical fault
KCN 532N,Tractor,Spark Plug,Ignition,MechWorks,10025.75,2025-02-24,Overheating
KCN 532N,Tractor,Radiator,Cooling System,SpareHub,2647.14,2025-04-30,Low power
KCN 532N,Tractor,Oil Filter,Engine,TechFix,12729.52,2025-05-24,Brake failure
KCN 532N,Tractor,Battery,Electrical,TechFix,11533.24,2024-10-11,Brake failure
KCN 532N,Tractor,Air Filter,Air Intake,FarmEquip Co,2758.24,2025-02-09,Overheating
KCN 532N,Tractor,Alternator,Electrical,Goodyear,7385.94,2025-05-31,Overheating
KDA 242D,Tractor,Spark Plug,Ignition,DieselParts,4660.77,2025-05-12,Brake failure
KDA 242D,Tractor,Radiator,Cooling System,Gallant,9661.31,2024-06-28,Engine noise
KDA 242D,Tractor,Hydraulic Pump,Hydraulics,PowerAuto,10899.74,2025-02-07,Routine service
KDA 242D,Tractor,Alternator,Electrical,PartsPlus,13019.32,2024-09-20,Battery issue
KDA 242D,Tractor,Brake Pads,Braking System,SpareHub,6536.84,2025-04-03,Tyre worn out
KDA 242D,Tractor,Tyre,Wheels,Gallant,14749.37,2024-11-22,Engine noise
KCN 949C,Tractor,Air Filter,Air Intake,MechWorks,12845.99,2025-01-31,Engine noise
KCN 949C,Tractor,Spark Plug,Ignition,TechFix,10985.82,2025-03-12,Electrical fault
KCN 949C,Tractor,Radiator,Cooling System,AutoPro Ltd,13087.79,2024-11-30,Battery issue
KCN 949C,Tractor,Hydraulic Pump,Hydraulics,TurboTraders,8770.84,2024-07-08,Electrical fault
KCN 949C,Tractor,Brake Pads,Braking System,PowerAuto,14352.62,2024-12-30,Oil leak
KBZ 536N,Tractor,Battery,Electrical,DieselParts,11110.74,2024-09-14,Tyre worn out
KBZ 536N,Tractor,Tyre,Wheels,Goodyear,12013.87,2024-06-29,Brake failure
KBZ 536N,Tractor,Fuel Pump,Fuel System,AutoPro Ltd,4350.01,2024-09-27,Electrical fault
KBZ 536N,Tractor,Oil Filter,Engine,AutoPro Ltd,8609.17,2024-08-17,Oil leak
KBZ 536N,Tractor,Hydraulic Pump,Hydraulics,DieselParts,6217.92,2024-11-21,Battery issue
KBZ 536N,Tractor,Tyre,Wheels,Goodyear,5937.33,2024-10-31,Engine noise
KBX 297Z,Tractor,Hydraulic Pump,Hydraulics,Goodyear,12216.44,2024-09-13,Routine service
KBX 297Z,Tractor,Spark Plug,Ignition,TechFix,10824.26,2025-01-23,Tyre worn out
KBX 297Z,Tractor,Spark Plug,Ignition,SpareHub,4030.13,2024-10-07,Low power
KBX 297Z,Tractor,Air Filter,Air Intake,HeavyDuty Supplies,2025.11,2024-07-14,Engine noise
KBX 297Z,Tractor,Radiator,Cooling System,BKT,4369.34,2024-12-14,Tyre worn out
KCH 302M,Tractor,Oil Filter,Engine,JKT,2755.93,2024-12-15,Overheating
KCH 302M,Tractor,Brake Pads,Braking System,FarmEquip Co,12646.65,2025-03-29,Electrical fault
KCH 302M,Tractor,Tyre,Wheels,JKT,12506.53,2025-02-20,Tyre worn out
KCH 302M,Tractor,Air Filter,Air Intake,BKT,10775.87,2024-10-09,Overheating
